1   .9개                                                  0      70-01-01 09:00
2   _startid.ad0                                          0      70-01-01 09:00
3   _startid.ad1                                          0      70-01-01 09:00
4   _startid.ad5                                          0      70-01-01 09:00
5   _startid.ad6                                          0      70-01-01 09:00
6   _startid.ad7                                          0      70-01-01 09:00
7   badid.log                                             32     00-10-04 19:13
8   badpass.log                                           23     00-10-04 19:12
9   day1222.log                                           0      70-01-01 09:00
10  day1223.log                                           0      70-01-01 09:00
11  day1224.log                                           0      70-01-01 09:00
12  day1225.log                                           0      70-01-01 09:00
13  endid1.log                                            25     99-07-04 17:41
14  endid2.log                                            39     00-10-04 19:16
15  endid3.log                                            31     99-07-04 17:41
16  g.txt                                                 0      70-01-01 09:00
17  guest.txt                                             0      70-01-01 09:00
18  guestin.scr                                           384    00-10-09 00:44
19  guestlo.log                                           561    00-07-04 13:07
20  helpid.hlp                                            290    99-07-04 17:41
21  helpid.txt                                            12     99-07-04 17:41
22  id.scr                                                26     00-07-04 13:07
23  loghost.log                                           98     01-10-14 11:16
24  nick.scr                                              201    99-07-04 17:41
25  nickerr.scr                                           74     99-07-04 17:41
26  notid.err                                             50     99-07-04 17:41
27  notsysop.log                                          167    99-07-04 17:41
28  pass.scr                                              24     99-07-04 17:41
29  samelog.log                                           107    99-07-04 17:41
30  samelog1.log                                          114    99-07-04 17:41
31  samelog2.log                                          56     99-07-04 17:41
32  start1.log                                            0      70-01-01 09:00
33  start10.log                                           0      70-01-01 09:00
34  start11.log                                           0      70-01-01 09:00
35  start13.log                                           0      70-01-01 09:00
36  start14.log                                           0      70-01-01 09:00
37  start15.log                                           0      70-01-01 09:00
38  startid.cmd                                           0      70-01-01 09:00
39  startid.scr                                           817    01-10-14 11:38
40  testid.log                                            105    99-07-04 17:41
41  week0.add                                             0      70-01-01 09:00
42  week1.add                                             0      70-01-01 09:00
43  week2.add                                             0      70-01-01 09:00
44  week3.add                                             0      70-01-01 09:00
45  week4.add                                             0      70-01-01 09:00
46  week5.add                                             0      70-01-01 09:00
47  week6.add                                             0      70-01-01 09:00
48  whynot.log                                            358    01-10-14 11:43
49  _startid.add 시작화면                                 0      70-01-01 09:00
50  startr0.log  시작화면                                 0      70-01-01 09:00
51  startr1.log  시작화면                                 0      70-01-01 09:00
52  startr2.log  시작화면                                 0      70-01-01 09:00
53  startr3.log  시작화면                                 0      70-01-01 09:00
54  startr4.log  시작화면                                 0      70-01-01 09:00
55  startr5.log  시작화면                                 0      70-01-01 09:00
56  startr6.log  시작화면                                 0      70-01-01 09:00
57  startok.log  로긴후 화면                              0      70-01-01 09:00
